stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
StopArea:DUA8711616,"PROVINS",,48.55585667,3.3026751,,,1,
StopArea:DUA8741069,"Place du Vexin",,49.00474418,1.90680865,,,1,
StopArea:DUA8738183,"MEULAN HARDRICOURT",,49.00636191,1.90070529,,,1,
StopArea:DUA8738155,"JUZIERS",,48.99242387,1.84515622,,,1,
StopArea:DUA8741085,"Mairie",,48.98800562,1.80622489,,,1,
StopArea:DUA8738157,"ISSOU PORCHEVILLE",,48.97943867,1.78507221,,,1,
StopArea:DUA8738158,"LIMAY",,48.98404066,1.74706573,,,1,
StopArea:DUA58:1120,"Calmette",,48.98377609,1.71564432,,,1,
StopArea:DUA8738150,"MANTES LA JOLIE",,48.98967609,1.70358391,,,1,
StopArea:DUA8768134,"ORANGIS BOIS DE L EPINE",,48.63657064,2.40759517,,,1,
StopArea:DUA8768133,"RIS ORANGIS",,48.65898773,2.41498739,,,1,
StopArea:DUA8727144,"SEVRAN BEAUDOTTES",,48.94727362,2.5244212,,,1,
StopArea:DUA8727145,"VILLEPINTE",,48.96295957,2.51198778,,,1,
StopArea:DUA8727148,"PARC DES EXPOSITIONS",,48.97387494,2.51394814,,,1,
StopArea:DUA8727103,"PARIS NORD",,48.88020761,2.35599524,,,1,
StopArea:DUA8711300,"PARIS EST",,48.87619612,2.35825596,,,1,
StopArea:DUA8727139,"LE BOURGET",,48.93111674,2.42641211,,,1,
StopArea:DUA8727130,"LA COURNEUVE AUBERVILLIERS",,48.92368478,2.38504166,,,1,
StopArea:DUA8727140,"DRANCY",,48.93288687,2.45515964,,,1,
StopArea:DUA8727147,"LE BLANC MESNIL",,48.93253143,2.47706072,,,1,
StopArea:DUA8738101,"PEREIRE LEVALLOIS",,48.88531728,2.29779605,,,1,
StopArea:DUA8756867,"PLACE LOULOU GASTE",,48.88693755,2.30100401,,,1,
StopArea:DUA76:316,"PORTE D'ASNIERES",,48.89082054,2.30275944,,,1,
StopArea:DUA8756868,"TOCQUEVILLE",,48.88726601,2.30799502,,,1,
StopArea:DUA8756869,"PEREIRE SAUSSURE",,48.88773979,2.30991634,,,1,
StopArea:DUA8738111,"PONT CARDINET",,48.88754741,2.31380883,,,1,
StopArea:DUA8756870,"JOUFFROY TOCQUEVILLE",,48.88582531,2.3090588,,,1,
StopArea:DUA59439,"WAGRAM",,48.88407839,2.30453207,,,1,
StopArea:DUA8727600,"CREIL",,49.26394001,2.46889193,,,1,
StopArea:DUA8768200,"MELUN",,48.52730447,2.654836,,,1,
StopArea:DUA8768220,"BOIS LE ROI",,48.47514315,2.69161177,,,1,
StopArea:DUA8768221,"FONTAINEBLEAU AVON",,48.41598337,2.72633053,,,1,
StopArea:DUA8768225,"THOMERY",,48.39431049,2.76401423,,,1,
StopArea:DUA8768227,"MORET VENEUX LES SABLONS",,48.37813877,2.79819676,,,1,
StopArea:DUA8768229,"SAINT-MAMMES",,48.38236042,2.81594261,,,1,
StopArea:DUA8768230,"MONTEREAU",,48.37996302,2.94338662,,,1,
StopArea:DUA8739334,"GAZERAN",,48.62471499,1.77160577,,,1,
StopArea:DUA8739411,"EPERNON",,48.60507199,1.68163034,,,1,
StopArea:DUA8739413,"MAINTENON",,48.58527433,1.59244259,,,1,
StopArea:DUA8739414,"SAINT-PIAT",,48.54217939,1.58997081,,,1,
StopArea:DUA8739415,"JOUY",,48.51044327,1.55776244,,,1,
StopArea:DUA8739417,"LA VILLETTE SAINT-PREST",,48.48240638,1.5223441,,,1,
StopArea:DUA8739400,"CHARTRES",,48.44838038,1.48085778,,,1,
StopArea:DUA8768603,"PARIS GARE DE LYON",,48.84461867,2.37322124,,,1,
StopArea:DUA8711610,"MEAUX",,48.95697177,2.87402268,,,1,
StopArea:DUA8711649,"TRILPORT",,48.96022594,2.95003743,,,1,
StopArea:DUA8711650,"CHANGIS SAINT-JEAN",,48.95899725,3.02506858,,,1,
StopArea:DUA8711651,"LA FERTE SOUS JOUARRE",,48.9506237,3.12473386,,,1,
